"filename", "language", "C++", "C", "Makefile", "comment", "blank", "total"
"/home/max/workspace/to_git/experiments/msx_now/main/component.mk", "Makefile", 0, 0, 0, 4, 1, 5
"/home/max/workspace/to_git/experiments/msx_now/main/main.c", "C", 0, 30, 0, 17, 16, 63
"/home/max/workspace/to_git/experiments/msx_now/main/main.h", "C", 0, 33, 0, 8, 14, 55
"/home/max/workspace/to_git/experiments/msx_now/main/msx_debug.h", "C++", 27, 0, 0, 1, 13, 41
"/home/max/workspace/to_git/experiments/msx_now/main/msx_espnow.c", "C", 0, 327, 0, 24, 104, 455
"/home/max/workspace/to_git/experiments/msx_now/main/msx_espnow.h", "C", 0, 61, 0, 14, 28, 103
"/home/max/workspace/to_git/experiments/msx_now/main/msx_event_loop.c", "C", 0, 116, 0, 29, 35, 180
"/home/max/workspace/to_git/experiments/msx_now/main/msx_event_loop.h", "C", 0, 40, 0, 4, 18, 62
"/home/max/workspace/to_git/experiments/msx_now/main/msx_executor.c", "C", 0, 115, 0, 20, 52, 187
"/home/max/workspace/to_git/experiments/msx_now/main/msx_executor.h", "C", 0, 14, 0, 0, 8, 22
"/home/max/workspace/to_git/experiments/msx_now/main/msx_httpd.c", "C", 0, 67, 0, 9, 31, 107
"/home/max/workspace/to_git/experiments/msx_now/main/msx_httpd.h", "C", 0, 19, 0, 0, 12, 31
"/home/max/workspace/to_git/experiments/msx_now/main/msx_ota.c", "C", 0, 126, 0, 35, 39, 200
"/home/max/workspace/to_git/experiments/msx_now/main/msx_uart.c", "C", 0, 71, 0, 4, 22, 97
"/home/max/workspace/to_git/experiments/msx_now/main/msx_uart.h", "C++", 19, 0, 0, 0, 13, 32
"/home/max/workspace/to_git/experiments/msx_now/main/msx_utils.c", "C", 0, 31, 0, 2, 9, 42
"/home/max/workspace/to_git/experiments/msx_now/main/msx_utils.h", "C", 0, 15, 0, 2, 11, 28
"/home/max/workspace/to_git/experiments/msx_now/main/msx_wifi.c", "C", 0, 80, 0, 15, 31, 126
"/home/max/workspace/to_git/experiments/msx_now/main/msx_wifi.h", "C", 0, 43, 0, 5, 16, 64
"Total", "-", 46, 1188, 0, 193, 473, 1900